time,nnz,nrows
0.0113746,170897.0,48785.0
0.0456517,3288900.0,10322900.0
0.000756003,10494.0,89219.0
0.00637643,705528.0,44610.0
0.0111551,703009.0,44610.0
0.00919195,440354.0,55136.0
0.0142763,784963.0,55136.0
0.00421637,396266.0,55136.0
0.0324427,2891910.0,6173500.0
0.0177043,1246940.0,4630120.0
0.0339198,2227100.0,227816.0
0.0119283,1879900.0,227816.0
0.000981272,47193.0,457449.0
0.0309486,3006750.0,304966.0
0.00147886,47188.0,228725.0
0.0189881,2112070.0,228725.0
0.0141287,2109400.0,228725.0
0.0382366,3120690.0,345727.0
0.0576291,7102230.0,314565.0
0.041416,4615800.0,207932.0
0.0263536,966036.0,650495.0
0.0107637,813228.0,3281910.0
0.0175706,1544170.0,90672.0
0.0358598,1274580.0,1040940.0
0.0159749,1349690.0,54480.0
0.0179797,1217030.0,111552.0
0.0187204,895789.0,74368.0
0.00655651,176415.0,37982.0
0.0125475,1261520.0,37982.0
0.0220924,3348880.0,159701.0
0.00604049,91668.0,366285.0
0.00307802,126677.0,366285.0
0.00385266,98981.0,67274.0
0.0135195,1330020.0,792739.0
0.00988551,376927.0,565472.0
0.0139,821636.0,424104.0
0.0436756,1724050.0,447873.0
0.0345154,2560040.0,440020.0
0.00801611,1133430.0,146674.0
0.0220896,1389840.0,985641.0
0.0232946,1605250.0,2294240.0
0.0386613,1436850.0,1529500.0
0.023883,525880.0,1147120.0
0.0173882,1624420.0,999783.0
0.0236547,780343.0,749838.0
0.0466656,7665540.0,578728.0
0.0515414,14377700.0,65536.0
0.00967157,1559820.0,219678.0
0.00879448,1541550.0,219678.0
0.00377991,78738.0,164759.0
0.014705,1143520.0,164759.0
0.0467487,6119200.0,5975380.0
0.0451282,3042840.0,2987690.0
0.00872437,83477.0,2987690.0
0.010227,163404.0,2987690.0
0.0338155,2689690.0,1237600.0
0.0348267,3653910.0,1237600.0
0.0222869,1491830.0,928204.0
0.0219227,667350.0,928204.0
0.0327251,1297860.0,30675.0
0.0234267,572813.0,43691.0
0.0430205,4715830.0,2097150.0
0.00546025,100091.0,33232.0
0.0192938,736296.0,22155.0
0.00124268,196606.0,196608.0
0.0164523,914761.0,875444.0
0.0151795,1056700.0,875444.0
0.00545416,624780.0,1036780.0
0.00363998,433008.0,541190.0
0.0189634,1096160.0,37662.0
0.0162047,1108240.0,28247.0
0.00181553,47472.0,75788.0
0.0173606,1681740.0,1671620.0
0.0226091,1845590.0,70437.0
0.00259695,82305.0,70437.0
0.00236124,63684.0,35337.0
0.00390482,73287.0,35337.0
0.00206387,70021.0,35337.0
0.00202527,60551.0,35337.0
0.0214961,2146870.0,81958.0
0.00395127,428825.0,391199.0
0.0413376,4527310.0,1258260.0
0.0217506,2465440.0,943692.0
0.0201214,333578.0,3849620.0
0.0213158,279006.0,3849620.0
0.0295141,3576680.0,3849620.0
0.0016665,27315.0,71151.0
0.0202659,1436740.0,53364.0
0.0511629,3720420.0,3866910.0
0.0419575,2686570.0,2577940.0
0.0289415,4261190.0,354134.0
0.0389034,3256170.0,3520450.0
0.00278865,34877.0,609787.0
0.0122459,2039790.0,406525.0
0.0116202,2013180.0,406525.0
0.0176881,1146540.0,891727.0
0.021682,1902420.0,196482.0
0.0168793,905534.0,147362.0
0.0247185,2674240.0,112309.0
0.00248109,9135.0,56155.0
0.0511868,3357680.0,32142200.0
0.0927833,13922400.0,490051.0
0.0244775,3370730.0,2271920.0
0.0157368,698762.0,85948.0
0.0469642,6891620.0,1048580.0
0.0152642,2302010.0,349526.0
0.0352956,1472980.0,67024.0
0.0237195,1483750.0,67024.0
0.00316477,271134.0,499341.0
0.0390403,6291410.0,2097150.0
0.00876796,1570890.0,699051.0
0.0954534,15867600.0,2779160.0
0.0179904,1680700.0,1780700.0
0.0114829,248559.0,1780700.0
0.0139439,1813710.0,110560.0
0.00445832,85968.0,73707.0
0.0215651,2167260.0,128338.0
0.0788424,12067700.0,2380520.0
0.0474728,3999680.0,793505.0
0.0033024,56732.0,595129.0
0.0209586,2940530.0,595129.0
0.010286,856596.0,28271.0
0.00512012,463927.0,28271.0
0.0524084,5244970.0,5299530.0
0.0120373,596374.0,108526.0
0.0115048,595761.0,108526.0
0.00458323,522400.0,108526.0
0.047664,5247620.0,148770.0
0.0337351,2510650.0,74385.0
0.00549108,402399.0,317401.0
0.0229954,860029.0,9000.0
0.0333336,337400.0,943692.0
0.0119978,949980.0,1853720.0
0.0301913,2523610.0,120185.0
0.0405719,3827140.0,125928.0
0.167425,30988200.0,1082380.0
0.00385991,310532.0,541190.0
0.000289765,4991.0,312969.0
0.0214918,1402730.0,234727.0
0.00858875,1380700.0,234727.0
0.00739248,190181.0,44375.0
0.024176,1191690.0,33281.0
0.0277235,1214660.0,33281.0
0.00669871,152591.0,33281.0
0.0402728,3146310.0,4194300.0
0.0184436,1865940.0,17215800.0
0.013166,878104.0,51777.0
0.0407449,2509370.0,504293.0
0.00858016,792392.0,408748.0
0.0154755,1626100.0,59954.0
0.026689,1197100.0,44965.0
0.00589327,323569.0,727855.0
0.0230436,1319660.0,745874.0
0.0226528,993620.0,745874.0
0.00866895,295628.0,46410.0
0.0801096,11662900.0,9729040.0
0.0716218,6568400.0,6486030.0
0.0556468,5126570.0,4864520.0
0.0526631,4706220.0,4864520.0
0.0406972,1467530.0,4864520.0
0.0614745,4693550.0,4864520.0
0.00447389,58427.0,152209.0
0.0134823,1997950.0,1006700.0
0.0134066,1992310.0,1006700.0
0.0346769,1739290.0,104200.0
0.00630909,207114.0,37662.0
0.0117825,607281.0,28247.0
0.0429322,3428150.0,1899640.0
0.015183,941925.0,949819.0
0.0102439,1018820.0,857189.0
0.00659424,1031580.0,40268.0
0.00106658,12012.0,40268.0
0.000787029,23566.0,40268.0
0.0154271,1034600.0,40268.0
0.0067451,95721.0,76039.0
0.00513615,754253.0,38020.0
0.00713405,434886.0,7982450.0
0.0509772,6667740.0,5986840.0
