time,nnz
0.0283992,1750800.0
0.00450849,419012.0
0.0464253,3551060.0
0.073113,10150200.0
0.0225919,1412240.0
0.0160416,218255.0
0.00593333,314186.0
0.00408564,150105.0
0.0106291,1419000.0
0.0367533,2270920.0
0.017076,1967320.0
0.00547624,237734.0
0.0165127,786080.0
0.0238764,1709630.0
0.0158886,1348810.0
0.00415635,89686.0
0.0037393,55709.0
0.0872397,7263260.0
0.0140983,1808050.0
0.00421094,309561.0
0.00978684,1055650.0
0.0147076,1427280.0
0.0146562,1225000.0
0.0101299,602586.0
0.0519945,3552080.0
0.0274389,1313220.0
0.0168048,1090940.0
0.000999682,31569.0
0.00479315,385013.0
0.133295,13987900.0
0.0441683,4810990.0
0.00232475,57475.0
0.0260658,1768460.0
0.00248546,53171.0
0.021488,1322120.0
0.0135431,1309220.0
0.00954523,765126.0
0.014375,360037.0
0.0377149,4226770.0
0.0261406,1418720.0
0.00282151,200000.0
0.0141794,2360040.0
0.00505244,733320.0
0.00442915,213328.0
0.00807557,479960.0
0.00578938,200000.0
0.0269321,1390110.0
0.0390318,2189950.0
0.016512,494724.0
0.0320859,901766.0
0.018324,1171440.0
0.016248,546376.0
0.0124711,421874.0
0.0412046,2317210.0
0.031544,2211870.0
0.020279,1637120.0
0.0455713,5076610.0
0.0363851,2942600.0
0.00442909,926554.0
0.240234,16441600.0
0.0506606,6184100.0
0.0337365,3968130.0
0.0488772,2991440.0
0.0115797,418058.0
0.0298277,3512810.0
0.0130744,205761.0
0.00679661,300845.0
0.0180717,1469700.0
0.0314503,542206.0
0.014359,331446.0
0.0292249,786418.0
0.020745,1572020.0
0.0499457,624789.0
0.0123249,449944.0
0.0059482,51466.0
0.00160451,1418.0
0.00826012,393096.0
0.0253888,1112190.0
0.0202865,912933.0
0.0173093,809831.0
0.0147475,207114.0
0.00438272,192913.0
0.041415,2277400.0
0.0165612,64466.0
0.013815,1266080.0
0.00696272,267543.0
0.00464295,96446.0
0.0274479,1104660.0
0.11944,17242200.0
0.0290252,800477.0
0.000839578,11709.0
0.0189703,2146210.0
0.0191286,2138190.0
0.00543765,386937.0
0.117507,14207100.0
0.0354157,1902020.0
0.0222182,1148530.0
0.0319309,1831640.0
0.0237686,793207.0
0.028399,2897230.0
0.00109734,10836.0
0.0171926,107079.0
0.0346904,1573840.0
0.0290045,3146800.0
0.0364975,6773850.0
0.00893685,329861.0
0.0143644,1022870.0
0.0120008,1521270.0
0.0804576,14183300.0
0.0646046,10622500.0
0.0684115,10622500.0
0.00953624,166937.0
0.0406444,6564930.0
0.0672377,6649470.0
0.0533073,4609520.0
0.035641,2680190.0
0.0282159,1961670.0
0.00428058,159860.0
0.0223395,1736750.0
0.0115242,632879.0
0.0100153,447311.0
0.00832708,406558.0
0.010615,928389.0
0.00244857,23907.0
0.106904,15849300.0
0.0224344,2560610.0
0.00956758,1046670.0
2.50127e-05,39.0
0.0209208,1616220.0
0.0332612,1131660.0
0.0234674,2208190.0
0.0238997,1813860.0
0.0364736,4569910.0
0.0260868,3218650.0
0.00571025,171117.0
0.00446524,128336.0
0.0241949,2360080.0
0.0940439,14127200.0
0.0111023,434886.0
0.0727014,6667740.0
0.0227236,1417140.0
0.01424,758892.0
0.0118662,143517.0
0.0059995,115332.0
0.0189587,822777.0
0.00665272,162553.0
0.0514611,7578690.0
0.104781,12056800.0
0.0768444,2148950.0
0.052055,6440420.0
0.0223299,442135.0
0.0148427,1611640.0
0.00263978,21429.0
0.0165431,1132240.0
0.0861529,10423800.0
0.042454,1249090.0
0.0346539,1314760.0
0.064392,6549140.0
0.0360307,997772.0
0.0462935,2729350.0
0.0258728,1300250.0
0.0170375,1149300.0
0.00675178,249303.0
0.0300817,1913590.0
0.00644581,167876.0
0.00444171,120982.0
0.000913597,4808.0
0.0462168,2064480.0
0.0813587,8397450.0
0.0673935,6287560.0
0.0402518,2093940.0
0.0189512,878104.0
0.00848755,600712.0
0.0499057,4966620.0
0.001953,42497.0
0.021406,1616220.0
0.00196066,42497.0
0.0276058,2603470.0
0.0989114,11664400.0
0.0443997,1348470.0
0.00610551,215518.0
0.00390833,39204.0
0.0284871,2187900.0
0.036624,2763850.0
0.0234975,2761710.0
0.0144708,1332750.0
0.0110441,1736990.0
0.0196257,1002960.0
0.0293016,1085170.0
0.00573986,190753.0
0.022659,1813750.0
0.036297,2190020.0
0.0254783,928131.0
0.0550558,8472830.0
0.0265861,1438040.0
0.0158,1049120.0
0.0161038,1384790.0
0.0141789,1387930.0
0.00310774,83765.0
0.0305643,1526400.0
0.0136481,1020860.0
0.00567818,69765.0
0.0599893,8715000.0
0.00991802,500553.0
0.0236634,1471360.0
0.0188899,1192800.0
0.0766991,7291830.0
0.0400363,2480690.0
0.0367927,3647150.0
0.0191347,1919940.0
0.0217188,1521480.0
0.048002,3726490.0
0.0229149,1722620.0
0.0280851,1934860.0
0.0154398,1170210.0
0.0125659,1057180.0
0.000711484,10800.0
0.00537308,1206780.0
0.00523134,268006.0
0.117931,3992640.0
0.00283437,172883.0
0.0701205,8588320.0
0.0582734,6530040.0
0.0243141,3341970.0
0.0391811,2443890.0
0.0331449,3772220.0
0.0105177,1875160.0
0.00340324,92423.0
0.0010019,145140.0
0.0248767,1899730.0
5.9782e-05,1078.0
5.7729e-05,1188.0
5.38523e-05,725.0
5.14093e-05,1353.0
0.00105183,33016.0
0.000950423,16046.0
0.000988395,16362.0
0.000336124,2532.0
0.000324204,2246.0
0.00225317,21801.0
0.0285248,2186330.0
0.0175152,1073790.0
0.000106318,932.0
0.00280696,254430.0
0.00223173,77495.0
0.00662514,242720.0
0.0844126,5280700.0
0.0218114,929460.0
0.0107914,524564.0
0.00715502,334761.0
0.00259843,147840.0
0.00465329,40000.0
6.7862e-05,1141.0
2.2836e-05,220.0
1.7363e-05,42.0
0.00191227,47193.0
0.0266615,4267930.0
0.040234,3006750.0
0.00273041,286033.0
0.00170988,155013.0
3.9339e-05,855.0
0.000919296,12000.0
0.00653683,645002.0
0.000576729,3633.0
0.000475991,3190.0
0.000141887,762.0
0.000278981,2092.0
4.11357e-05,391.0
2.7493e-05,76.0
0.0838837,9912540.0
0.0477232,3067850.0
0.00793257,392197.0
0.0296072,2654990.0
0.00440625,112959.0
0.0119455,1241010.0
0.0111406,323318.0
0.0155715,900342.0
0.0243716,1227630.0
0.00240917,18182.0
0.00154735,11395.0
0.000537807,3394.0
0.00258684,27112.0
0.00270379,18068.0
7.50753e-05,1414.0
0.000495661,4553.0
8.50117e-05,1387.0
0.000717114,8227.0
0.000165854,2453.0
0.0191083,1193900.0
3.89793e-05,200.0
0.00399757,264192.0
0.00482192,210576.0
0.000187037,5120.0
0.000991808,61350.0
0.000465755,4964.0
0.00316085,21999.0
0.0039885,183534.0
0.00206021,66165.0
0.00172645,62375.0
0.00175532,101877.0
0.00177354,63030.0
0.000762469,4478.0
0.00153815,11456.0
0.000524417,3377.0
0.0425261,3753860.0
0.0149932,209402.0
0.000258565,16161.0
4.52457e-05,396.0
0.00292353,171802.0
0.000858214,29648.0
4.87927e-05,248.0
0.00091517,37091.0
0.00458567,232684.0
0.00106736,54879.0
0.000685431,2013.0
0.00232777,140446.0
0.0133344,250555.0
0.00470312,416872.0
0.0112186,521285.0
0.000827285,16173.0
0.000240156,799.0
0.00074785,8612.0
0.000800262,5851.0
0.00054017,3876.0
0.000562746,3278.0
6.5732e-05,677.0
0.000519754,2511.0
0.000109171,1024.0
5.36723e-05,413.0
0.0126459,1039600.0
0.00800247,676038.0
0.00904569,516026.0
5.4559e-05,351.0
0.000569989,3487.0
0.000440442,2827.0
0.000136191,571.0
0.000173967,1114.0
3.23993e-05,153.0
2.63027e-05,23.0
0.00401936,175467.0
0.0235767,1789800.0
0.0633809,6809260.0
0.043633,4529980.0
0.0133255,1177220.0
0.00569388,780772.0
0.00070703,10817.0
0.00149681,20786.0
0.00959533,525867.0
0.00609322,381635.0
0.00922572,483662.0
